year,country,ISO,"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, tertiary (% gross)",Internet Users(%),GDP per capita (current US$),"Inflation, consumer prices (annual %)"
2022,"Egypt, Arab Rep.",EGY,,1.56907383039584,,,4295.40749561014,13.8956609775178
2021,"Egypt, Arab Rep.",EGY,70.221,1.65838367949689,,,3886.7224983901,5.21404940513043
2020,"Egypt, Arab Rep.",EGY,70.99,1.73312957205986,,71.91419983,3571.5569065135,5.04493288977533
2019,"Egypt, Arab Rep.",EGY,71.358,1.79400212546566,,57.28286743,3017.25833578941,9.15279959324812
2018,"Egypt, Arab Rep.",EGY,71.367,1.89893076814734,38.9049491882324,46.92433548,2531.20007864537,14.4014657807421
2017,"Egypt, Arab Rep.",EGY,71.302,1.98976849465685,35.1645202636719,44.95020294,2439.96728439968,29.5066083940039
2016,"Egypt, Arab Rep.",EGY,70.844,2.08630284573945,33.8589096069336,41.24806595,3331.61246134688,13.8136062148289
2015,"Egypt, Arab Rep.",EGY,70.483,2.20525980686911,35.0281295776367,37.81938171,3370.38244716015,10.370490343517
2014,"Egypt, Arab Rep.",EGY,70.415,2.34379305041137,31.0681095123291,33.89460373,3196.86138078687,10.0702154687482
2013,"Egypt, Arab Rep.",EGY,70.052,2.31570750353087,30.1178493499756,29.39999962,3088.8908340843,9.4697198106492
2012,"Egypt, Arab Rep.",EGY,70.085,2.26158734403113,27.7280406951904,26.39999962,3059.13542779204,7.11172943343078
2011,"Egypt, Arab Rep.",EGY,69.88,2.20764281063758,26.817720413208,25.60000038,2645.6225349104,10.0649259874818
2010,"Egypt, Arab Rep.",EGY,69.664,2.02763965508429,31.4172401428223,21.60000038,2509.77203417522,11.2651882653186
2009,"Egypt, Arab Rep.",EGY,69.48,1.95615522230144,30.5354804992676,20.0,2212.21814788932,11.7634954386443
2008,"Egypt, Arab Rep.",EGY,69.319,1.95838290327697,29.9879302978516,18.01000023,1941.89997269337,18.3168316831684
2007,"Egypt, Arab Rep.",EGY,69.128,1.95167431348286,30.2709808349609,16.03000069,1586.47292057972,9.31896905799228
2006,"Egypt, Arab Rep.",EGY,68.977,1.94660064062847,29.9295501708984,13.65999985,1332.33941000282,7.64452644526432
2005,"Egypt, Arab Rep.",EGY,68.779,1.98334143708702,30.1200008392334,12.75,1133.10546057176,4.86939696871988
2004,"Egypt, Arab Rep.",EGY,68.613,2.03166566101876,28.9297008514404,11.92000008,1016.25388395628,11.270619332052
